任务ID,分类,任务描述,预计完成时间(秒),标签
77,环境对话类,观察阳光照射的痕迹,35,"#观察,#光影"
78,环境对话类,找出最不起眼的物品,30,"#探索,#细节"
79,环境对话类,数一数房间里的插座,45,"#计数,#电器"
80,环境对话类,寻找环境中的对称物体,35,"#观察,#对称"
81,环境对话类,观察窗外最显眼的颜色,40,"#观察,#色彩"
82,环境对话类,找出最古老的物品,30,"#探索,#历史"
83,环境对话类,数一数房间的尖角物体,45,"#计数,#形状"
84,环境对话类,寻找能发出声音的物体,35,"#探索,#声音"
85,环境对话类,观察墙面的纹理变化,40,"#观察,#细节"
86,环境对话类,找出最轻的三个物品,30,"#探索,#重量"
87,环境对话类,数一数透明的物品,45,"#计数,#材质"
88,环境对话类,寻找会反光的表面,35,"#探索,#光学"
89,环境对话类,观察物品的投影形状,40,"#观察,#光影"
90,环境对话类,找出最柔软的物品,30,"#探索,#质感"
91,环境对话类,数一数方形的物品,45,"#计数,#形状"
92,环境对话类,寻找带有文字的物体,35,"#探索,#文字"
93,环境对话类,观察门窗的开合角度,40,"#观察,#空间"
94,环境对话类,找出最凉快的位置,30,"#探索,#温度"
95,环境对话类,数一数金属制品,45,"#计数,#材质"
96,环境对话类,寻找会移动的物体,35,"#探索,#动态"
97,环境对话类,观察灯光的分布,40,"#观察,#照明"
98,环境对话类,找出最暖和的角落,30,"#探索,#温度"
99,环境对话类,数一数植物的数量,45,"#计数,#自然"
100,环境对话类,寻找并记录时钟位置,35,"#探索,#时间"
